id;username;jhi_password;adminflag;deleteflag
1;Officer Kuwait;Strategist integrated Small Frozen Fish;false;false
2;Beauty generate Money Market Account;Auto Loan Account New Jersey monitor;true;false
3;efficient;Infrastructure Cordoba Oro;false;false
4;scale 6th generation;Yen Louisiana Alaska;false;true
5;Ergonomic black;asymmetric;false;true
6;Congolese Franc invoice alliance;Lebanese Pound synergize;true;true
7;bandwidth backing up;silver extensible;true;true
8;Borders mission-critical;Handmade Rubber Hat;true;true
9;Clothing impactful;Beauty card redundant;false;true
10;Polarised;synergies Naira Manager;true;false
